"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-W221x-Panel-PC","string","Wide 21.5"", https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-W221x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-219x-MX100","string","19"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-219x-MX100.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-219x-Panel-PC","string","19"", https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-219x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-217x-MX100","string","17"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-217x-MX100.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-217x-Panel-PC","string","17"", https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-217x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-W215x-MX100","string","Wide 15.6"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-W215x-MX100.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-W215x-Panel-PC","string","Wide 15.6"", https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-W215x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-215x-MX100","string","15"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-215x-MX100.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_Premio-VIO-215x-Panel-PC","string","PC300 Modules, https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_Premio-VIO-215x-Panel-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","UM-Generic_VIO-100-200MX100_V1","string","https://premio.blob.core.windows.net/premio/uploads/2018/02/UM-Generic_VIO-100-200MX100_V1.pdf"
