"Product GID","Product handle","Product title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","resource_AVL","string","DSS212S-D5-DSS316S-D5-AVL"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","resource_BIOS","string","Tyan S7106GM2NR, Tyan S7106GM2NR-L2"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","resource_Install Guide","string","DSS212S-D5-QG"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","resource_Product Brief","string","PB-DuraStreams_Intel_E"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","processor","string","Intel"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","100_System","string","System"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","110_Processor","string","Each Node: Supports Single Socket Intel&reg; Xeon&reg; P Skylake up to 205W TDP socket LGA3647"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","120_System Chipset","string","Intel C622 chipset"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","130_System Memory","string","Each Node: Supports up to 6x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","170_Storage","string","Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","305_Expansion","string","Each Node: 1x PCI-E 3.0 x8; 2x PCI-E3.0 x16; 1x Broadcom LSI3008 (Optional)"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","700_Environment","string","Environment"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","710_Operating Temperature","string","0&deg;C ~ 35&deg;C"
"gid://shopify/Product/1774388805702","dss212s-u5-2u-12-bay-3-5-hdd-12g-sas-redundant-node-single-xeon-sp","DSS212S-U5 2U 12 BAY 3.5"" HDD 12G SAS REDUNDANT NODE SINGLE XEON SP","global","720_Storage Temperature","string","-20&deg;C ~ 70&deg;C"
